1,1,10101001,第1题 试题编号：10101001,标准大气条件下的平均海平面温度是()。,0℃,10℃,15℃,25℃,C,13
2,2,10101002,第2题	试题编号：10101002,标准大气条件下，11KM以下的气温直减率是()。,0.65℃/100m,1.0℃/100m,-0.1℃/100m,是一个变化的量,A,
3,3,10101003,第3题	试题编号：10101003,对流层的一个特征是()。,包含大气中的全部水汽,总体上,随着高度的升高温度下降,气象要素水平分布无变化,随着高度的升高温度上升,B,
4,4,10101004,第4题		试题编号：10101004,对流层顶的特征是()。,气温直减率＞1℃/100m,对流层上部,厚度在1km左右,气温直减率≤0,有较强烈的湍流,气流运行极不平稳,在空中3km左右气温直减率＞0,B,
5,5,10101005,第5题		试题编号：10101005,当飞机保持一定的高度飞行，在穿过对流层进入平流层时，气温会()。,降低,升高,无变化,先降低后升高,B,
6,6,10101006,第6题	试题编号：10101006,对流层空气热量的主要来源是()辐射。,空气吸收太阳,二氧化碳和水汽吸收太阳,臭氧吸收太阳,空气吸收地面,D,
7,7,10101007,第7题	试题编号：10101007,中纬度地区对流层上界的高度通常是()。,8~9km,10~12km,15~17km,17~18km,B,
8,8,10101008,第8题	试题编号：10101008,中纬度地区对流层上界的高度通常是()删除。,,,,,null,
9,9,10101009,第9题	试题编号：10101009,大气处于标准状态时，离海平面8000m高度上的气温是。,-37℃,-48℃,-52℃,-65℃,A,
10,10,20101010,第10题	试题编号：20101010,标准大气条件下的平均海平面温度是15℃,T,F,,,T,
11,11,20101011,第11题	试题编号：20101011,当飞机保持一定的高度飞行，在穿过对流层进入平流层时，气温会升高。,T,F,,,T,
12,12,20101012,第12题	试题编号：20101012,在标准大气中飞机在空中测得的气温是-24℃,则飞机所在高度是3000m。,T,F,,,F,
13,13,10102001,第13题	试题编号：10102001,某地点的海拔高度是指()。,该点到机场平面的距离,该点到平均海平面的垂直距离,该点到1013hpa气压面的垂直距离,该点上的气压高度表拨到QFE指针指示的高度,B,
14,14,10102002,第14题	试题编号：10102002,航路飞行中，高度表的气压基准面是()。,QFE,QNH,QNE,海平面气压面,C,
15,15,10102003,第15题	试题编号：10102003,飞机停在跑道上，当气压值调到场压时，气压高度表一般看作指示()，实际上指示 ()。,场面高度,座舱高度,零高度,座舱高度,标准海压高度,修正高度,零高度,零点高度,B,
16,16,10102004,第16题	试题编号：10102004,飞机停在跑道上,当气压值调到修正海压时,气压高度表一般看作指示(),实际上指示()。,零高度,零高度加座舱高度,场面高度,场面高度加座舱高度,机场标高,机场标高加座舱高度,零点高度,零点高度加座舱高度,C,
17,17,10102005,第17题	试题编号：10102005,假定零点高度是()。,本站气压值与标准海平面气压值的差值,本站气压值与海平面气压值的差值,场面气压值与海平面气压值的差值,场面气压值与标准海平面气压值的差值,D,
18,18,10102006,第18题	试题编号：10102006,飞行速度一定时，空气密度越大，则()。,升力越大,升力越小,所需推力越小,发动机输出功率越小,A,
19,19,10102007,第19题	试题编号：10102007,一天中最低气温出现在()。,地方时上午10点左右,大约日出前一小时,午夜,地方时下午4时左右,B,
20,20,10102008,第20题	试题编号：10102008,地球上发生天气变化最直接的原因是()。,太阳黑子的活动,海岸线走向的改变,空气湿度的增加,气压的改变,D,
21,21,10102009,第21题	试题编号：10102009,QNH表示()。,场压,修正海平面气压,实际气压,本站气压,B,
22,22,10102010,第22题	试题编号：10102010,()是描述低压延伸出的狭长区域。,槽,飓风或台风,飕线,鞍,A,
23,23,10102011,第23题	试题编号：10102011,空气在上升、下沉过程中，仅由于外界压力改变而导致空气温度改变的变化称为 ()。,等温,非绝热变化,逆温,绝热变化,D,
24,24,10102012,第24题	试题编号：10102012,反气旋指的是()。,静风区,高压区,低压区,急流区,B,
25,25,10102013,第25题	试题编号：10102013,当气温升高时，首先引起()。,相对湿度增大,相对湿度减小,水汽含量增加,水汽含量减少,B,
26,26,10102014,第26题	试题编号：10102014,空中槽是指()。,A.空中低压伸出来的狭长区域,B.空中高压伸出来的狭长区域,C.空中高压至低压的连线部分,D.空中均压区,A,
27,27,10102015,第27题	试题编号：10102015,修正海平面气压是指()。,把标准大气场面气压值,按标准大气条件修正到海平面上的气压值,把场面气压按实际大气条件修正到海平面上的气压值,把场面气压按标准大气条件修正到海平面上的气压值,把标准大气场面气压值,按实际大气条件修正到海平面上的气压值,C,
28,28,10102016,第28题	试题编号：10102016,当飞机按气压式高度表保持一定高度飞向低压区时，其实际高度的变化是()。,逐渐变低,逐渐变高,先变低,后变高,先变高,后变低,A,
29,29,10102017,第29题	试题编号：10102017,飞机进入较强下降气流和上升气流区时，高度指示会分别比实际高度()。,偏高、偏低,偏高、偏高,偏低、偏高,偏低、偏低,A,
30,30,10102018,第30题	试题编号：10102018,在高原机场，飞机在进近下降的过程中，气压高度表指示()高度。,零点,标准气压,修正海平面气压,B或C,C,
31,31,10102019,第31题	试题编号：10102019,下列因素中不利于增加起飞重量的有()。,使用下坡跑道,使用大角度襟翼,高温天气,逆风起飞,C,
32,32,10102020,第32题	试题编号：10102020,两个高压与两个低压所夹区域称为()气压区。,鞍形,高压,低压,均压区,A,
33,33,10102021,第33题	试题编号：10102021,上坡时，未饱和湿空气绝热冷却的近似速率是()。,0.65℃/100m,1℃/100m,0.5℃/100m,0.1℃/100m,B,
34,34,10102022,第34题	试题编号：10102022,()定为本站气压。,高度表拨正值,在机场标高上的标准大气压力,本站气压订正到海平面上的气压值,在机场标高上的实际压力,D,
35,35,10102023,第35题	试题编号：10102023,()会引起空气块的非绝热变化。,空气块做快速上升下沉运动,空气块贴地水平运动,降水,雷雨,B,
36,36,10102024,第36题	试题编号：10102024,当空气块绝热下沉时,其温度会升高,原因是()的结果。,外界对空气块压缩做功产生热量,空气中水汽蒸发释放潜热,空气分子剧烈摩擦产生热量,气块膨胀对外界做功,A,
37,37,10102025,第37题	试题编号：10102025,饱和水汽压的大小表示空气()。,所含水汽部分的压强,含水汽量的多少,的饱和程度,含水汽的能力,D,
38,38,10102026,第38题	试题编号：10102026,相对湿度的大小表示空气()。,的含水汽量,的饱和程度,中所含水气的密度,包含水汽的能力,B,
39,39,10102027,第39题	试题编号：10102027,当机场的场压为1010.2hpa,而机长误调为1001.2hpa时,飞机实际进场高度()。,偏高,偏低,可能偏高,也可能偏低,没影响,A,
40,40,10102028,第40题	试题编号：10102028,在空中，如果实际温度比标准大气温度高，那么()。,标准大气气压高度比实际气压高度高,标准大气气压高度比实际气压高度低,标准大气气压高度和实际气压高度相等,标准大气气压高度和实际气压高度无法比较,B,
41,41,10102029,第41题	试题编号：10102029,地面温度为25℃,露点温度为12℃,一空气块从地面上升达到饱和时的高度是()。,825m,1625m,2800m,650m,B,
42,42,20102030,第42题	试题编号：20102030,气压高度表是一个高灵敏度的空盒气压表,它是根据气压随高度递增的规律来显示飞行高度。,T,F,,,F,
43,43,20102031,第43题	试题编号：20102031,标准大气中3km、5.5km以及11km高度处的气压值分别是850hPa；500hPa；300hPa。,T,F,,,F,
44,44,20102032,第44题	试题编号：20102032,当气温升高时,航空器的起飞重量会增加,滑跑距离会缩短。,T,F,,,F,
45,45,20102033,第45题	试题编号：20102033,飞机的载重量受气温变化的影响很大,当气温高于标准大气温度时,空气密度变小,产生的升力也小,因而载重量减小,反之低于标准大气温度时,载重量增加。,T,F,,,T,
46,46,20102034,第46题	试题编号：20102034,飞机起飞(降落)前,要根据起飞(降落)机场的修正海压调整高度表,这时高度表表示的是相对于起飞（降落）机场的高度加上机场标高,航线飞行中,则要按照标准海平面气压调整高度表,以避免飞机在空中相撞。,T,F,,,T,
47,47,10103001,第47题	试题编号：10103001,用风向袋估计风速时，如风袋被吹平，则风速可达（）m/s.,5—6,10—12,15—20,20—25,B,
48,48,10103002,第48题	试题编号：10103002,山谷风规律是()。,白天近地层的风由谷底吹向山坡,夜间由山坡吹向谷底,白天近地层的风由山坡吹向谷底,夜间由谷底吹向山坡,白天由高压吹向低压区,夜间由低压吹向高压区,白天由低压吹向高压区,夜间由高压吹向低压区,A,
49,49,10103003,第49题	试题编号：10103003,海陆风规律是()。,白天由高压吹向低压区,夜间由低压吹向高压区,白天由低压吹向高压区,夜间由高压吹向低压区,白天近地层的风由陆地吹向海洋,夜间由海洋吹向陆地,白天近地层的风由海洋吹向陆地,夜间由陆地吹向海洋,D,
50,50,10103004,第50题	试题编号：10103004,空气沿山的背风坡下降时,空气会变得()。,干燥、温暖,潮湿、温暖,干燥、寒冷,潮湿、寒冷,A,
51,51,10103005,第51题	试题编号：10103005,当地面图上风力达到()m/s时标志大风标记。,8,12,16,20,B,
52,52,10103006,第52题	试题编号：10103006,大风是由()原因造成的。,寒潮,热带气旋,雷雨,以上均正确,D,
53,53,10103007,第53题	试题编号：10103007,在理论上,()地区的地转偏向力对风向无影响。,极地,中纬度,赤道,高纬度,C,
54,54,10103008,第54题	试题编号：10103008,在南半球地转偏向力对风向的影响是。,使风绕低压顺时针方向旋转,使风绕高压顺时针方向旋转,使风绕低压逆时针方向旋转,使其右偏,A,
55,55,10103009,第55题	试题编号：10103009,在北半球离地8000m上空飞行时,如果航线上是逆风,则高压区在航线的()。,右前方,左后方,左侧,右侧,C,
56,56,10103010,第56题	试题编号：10103010,地面风具有明显日变化的主要原因是()。,动量下传,摩擦力的变化,水汽含量的变化,地转偏向力的变化,A,
57,57,10103011,第57题	试题编号：10103011,北半球航空器由高压区飞往低压区,则航线上应吹()。,右侧风,顺风,左侧风,逆风,C,
58,58,10103012,第58题	试题编号：10103012,在摩擦层中,风会穿越等压线由高压流向低压,原因是摩擦导致()。,风速减小引起地转偏向力的减小,风速减小引起气压梯度力的减小,湍流的增加,风速加大引起地转偏向力的减小,A,
59,59,10103013,第59题	试题编号：10103013,自由大气中,风随高度变化的主要原因是()。,气温随高度的变化,气温的水平差异,气压随高度的变化,摩擦力随高度的变化,B,
60,60,10103014,第60题	试题编号：10103014,近地面层风从早上到午后的日变化规律是风向()。,左偏转,风速增大,右偏转,风速减小,右偏转,风速增大,左偏转,风速减小,C,
61,61,10103015,第61题	试题编号：10103015,在北半球,根据摩擦层中风随高度变化的规律判断,若航空器在开始进近着陆时是逆风,接地时则会遇到()。,左侧逆风,右侧逆风,顺风,右侧风,A,
62,62,20103016,第62题	试题编号：20103016,只要情况允许,应选择在顺风或顺侧风高度上飞行,以增大航程或节省飞行时间和燃料。,T,F,,,T,
63,63,20103017,第63题	试题编号：20103017,飞机的起飞和着陆,通常都在顺风条件下进行,因为顺风能使离地速度和接地速度减小,因而,缩短飞机起飞和着陆的滑跑距离。,T,F,,,F,
64,64,20103018,第64题	试题编号：20103018,飞机的起飞和着陆,应尽量在逆风条件下进行,因为这样可以使离地速度和着陆速度减小,能缩短飞机起飞滑跑距离和着陆距离。,T,F,,,T,
65,65,20103019,第65题	试题编号：20103019,气象上的风向指风的来向,90°的风,指的是向东吹去的风。,T,F,,,F,
66,66,20103020,第66题	试题编号：20103020,风速对不同空速的飞机的影响是不同的,高速飞行时受风的影响相对较大。,T,F,,,F,
67,67,20103021,第67题	试题编号：20103021,当跑道侧风在航空器侧风标准附近时,是否起飞或着陆,由管制员根据机型自行决定。,T,F,,,F,
68,68,20103022,第68题	试题编号：20103022,各种类型的飞机都有其起飞着陆所容许的最大侧风值,其大小与飞机结构特点及机翼单位面积负荷有关。,T,F,,,T,
69,69,10104001,第69题	试题编号：10104001,在逆温层中,温度随高度升高而。,升高,降低,不变,不一定,A,
70,70,10104002,第70题	试题编号：10104002,逆温出现时会导致()的情况。,整层稳定度增加,整层稳定度减小,强烈的垂直运动,积雨云出现,A,
71,71,10104003,第71题	试题编号：10104003,平/回流逆温,发生在()。,冬、春季从海上来的暖空气流经的冷地表上,从高纬度来的冷空气流经的地表上,冬、春季从陆地上来的冷空气流到海面上,从高压流向低压的气流中,A,
72,72,10104004,第72题	试题编号：10104004,()是指气层内某一气块受垂直方面的扰动后,返回或远离原平衡位置的趋势和程度。,大气稳定度,不稳定能量,对流,乱流,A,
73,73,10104005,第73题	试题编号：10104005,空气剧烈的垂直运动称()。,乱流,对流,风,湍流,B,
74,74,10104006,第74题	试题编号：10104006,对飞行影响最大的垂直运动是()。,强对流,系统性缓慢抬升,乱流,大气波动,A,
75,75,10104007,第75题	试题编号：10104007,有充沛水汽的近地面层，出现逆温时的特征是()。,将有强对流发生,能见度变坏,大气不稳定度增加,有积雨云出现,B,
76,76,10104008,第76题	试题编号：10104008,如果随高度升高,大气温度保持不变或有微升,说明气团是()。,含水汽量很大,不稳定的,中性稳定的,稳定的,D,
77,77,10104009,第77题	试题编号：10104009,()可确定大气稳定度。,温度对数压力图表(T-LnP图)中的不稳定能量区域的大小,地面天气图,观测站报告的场压、风、湿度、温度,重要天气报告,A,
78,78,10104010,第78题	试题编号：10104010,在低空逆温层下,当相对湿度较高时,常会出现什么样的天气()。,平稳的气流和因雾、霾或低云而造成的低能见度,弱风切变和因下雨而造成的低能见度,颠簸气流和因雾、低的层云和阵雨而造成的低能见度,波动气流,有层积云和间歇性小雨,A,
79,79,10104011,第79题	试题编号：10104011,逆温层常发生在()。,急流内,对流云系下方,盛夏近地面层中的干热地表上空,西风带中,C,
80,80,10104012,第80题	试题编号：10104012,处于稳定状态气层中的空气块()。,做下沉运动时,其内部温度会低于环境温度,做上升运动时,其内部温度会高于环境温度,做上升运动时,其内部温度会低于环境温度,在上升下沉过程中气块内部温度始终保持不变,C,
81,81,20104013,第81题	试题编号：20104013,在逆温层中,温度随高度升高而升高。,T,F,,,T,
82,82,20104014,第82题	试题编号：20104014,有充沛水汽的近地面层,出现逆温时的特征是能见度变坏。,T,F,,,T,
83,83,20104015,第83题	试题编号：20104015,在低空逆温层下,当相对湿度较高时,常会出现波动气流,有层积云和间歇性小雨。,T,F,,,F,
84,84,10105001,第84题	试题编号：10105001,机场运行最低标准中的云高指()。,9000m以下遮蔽半个以上天空的最低云层底部离地面的高度,6000m以下遮蔽半个以上天空的最低云层底部离地面的高度,3000m以下遮蔽半个以上天空的最低云层底部离地面的高度,5000m以下遮蔽半个以上天空的最低云层底部离地面的高度,B,
85,85,10105002,第85题	试题编号：10105002,有云和碧空相比,云层的出现不利于()白天的气温和()夜间的气温。,提高,提高,降低,提高,降低,降低,提高,降低,D,
86,86,10105003,第86题	试题编号：10105003,降水产生的()影响飞机起飞和着陆。,碎雨云,卷云,层云,高云,A,
87,87,10105004,第87题	试题编号：10105004,在()高度上飞行常遇到高云和积雨云。,7000m,对流层顶以下,10000m,对流层顶以上,B,
88,88,10105005,第88题	试题编号：10105005,当云中温度()而云下温度高于0℃时,云内水凝物降落形成空中是雪而地面为雨的现象。,高于4℃,高于0℃,低于0℃,低于-4℃,C,
89,89,10105006,第89题	试题编号：10105006,形成积状云的垂直运动是()。,大气波动,系统性垂直运动,对流运动,大气乱流,C,
90,90,10105007,第90题	试题编号：10105007,某机场气象台观测的几种云的累积云量是:3Fn3005Fc5008Ns800,则该机场的总云量是()。,16,10,13,8,D,
91,91,10105008,第91题	试题编号：10105008,在下述何种云中飞行气流比较平稳()。,层积云和高积云,高积云和高层云,高层云和雨层云,层积云和淡积云,C,
92,92,10105009,第92题	试题编号：10105009,在不稳定层结下出现的天气现象是()。,连续性降水,阵性降水,层状云,雾,B,
93,93,10105010,第93题	试题编号：10105010,碎雨云和高积云的简写符号分别为()。,Fc,Ac,Fn,As,Fn,Sc,Fn,Ac,D,
94,94,10105011,第94题	试题编号：10105011,积状云中的降水是()。,连续性降水,间歇性降水,阵性降水,固态降水,C,
95,95,10105012,第95题	试题编号：10105012,波状云中的降水是()。,连续性降水,间歇性降水,阵性降水,固态降水,B,
96,96,10105013,第96题	试题编号：10105013,层状云中的降水是()。,连续性降水,间歇性降水,阵性降水,强降水,A,
97,97,10105014,第97题	试题编号：10105014,对飞行可能造成危害最大的云系是()。,波状云系,层状玄系,堡状云系,飑线云系,D,
98,98,10105015,第98题	试题编号：10105015,最容易产生航空器积冰的降水形态是()。,毛毛雨,阵雨,冻雨,霰,C,
99,99,10105016,第99题	试题编号：10105016,潮湿而不稳定的空气被迫沿山坡上升,所形成的云将是()。,卷状云,厚度不大,无乱流,层状云,有轻度乱流或无乱流,平行于山脉走向的静止的荚状云,积状云,垂直发展旺盛,有阵雨,D,
100,100,10105017,第100题	试题编号：10105017,下列何组云是按云底高度由高到低排列的()。,浓积云,卷层云,层积云,卷层云,高层云,雨层云,雨层云,高层云,层积云,卷积云,高积云,卷层云,B,
101,101,10105018,第101题	试题编号：10105018,云和降水的水平范围通常都很大的云是（）。,高层云和高积云,高积云和雨层云,雨层云和高层云,高层云和积雨云,C,
102,102,10105019,第102题	试题编号：10105019,飞行中遇到冰粒表明()。,在较高高度上有风切变,在较高高度上有锋区,在较高高度上有急流,航空器周围有雷暴活动,D,
103,103,10105020,第103题	试题编号：10105020,在很厚且没有得到详细云系分布资料的雨层云中做仪表飞行的最大危险是()。,闯入云中埋置的积雨云中,仪表指示失常,迷航,飞错高度层,A,
104,104,10105021,第104题	试题编号：10105021,()表明云中有过冷水存在。,冻雨,毛毛雨,阵雨,冰雹,A,
105,105,10105022,第105题	试题编号：10105022,与山地波相关的驻留云是()。,积状云,卷云,层状云,滚轴状云,D,
106,106,10105023,第106题	试题编号：10105023,()的云底高度经常低于100m。,St,Ns,Cb,Cs,A,
107,107,10105024,第107题	试题编号：10105024,产生阵性降水和间歇性降水的主要云状分别是()。,Cb、Ci,Tcu、Sc,Cb、Ns,Ns、Sc,B,
108,108,10105025,第108题	试题编号：10105025,从航空器上看到云顶明亮,说明云层()。,薄,厚,含水量小,含杂质多,B,
109,109,10105026,第109题	试题编号：10105026,如果天空出现堡状云,则说明()。,气层很不稳定,对流很强,气层很稳定,空中有逆温层,下部有对流发展,D,
110,110,10105027,第110题	试题编号：10105027,在下述何种降水中能见度最差()。,小雨,中雨,大雨,中雪,D,
111,111,10105028,第111题	试题编号：10105028,航空器爬升中遇到冻雨时,可认为()。,上层云中温度在冰点以上,云下温度在冰点以下,上层云中温度在冰点以下,云下温度在冰点以上,上层云中温度在冰点以下,云下温度在冰点以下,上层云中温度在冰点以上,云下温度在冰点以上,B,
112,112,10105029,第112题	试题编号；10105029,如果飞行中发生湿雪形式的降水则()。,飞行高度的温度在冰点以上,飞行高度以上云层温度在冰点以上,地面温度在冰点以下,地面温度在冰点以上,A,
113,113,10105030,第113题	试题编号：10105030,存在()时，说明空中有非常强烈的乱流。,淡积云,荚状云,积雨云,层云,C,
114,114,10105031,第114题	试题编号：10105031,高空风的大小会影响积雨云顶部形状,高空风大时以()积雨云为主。,鬃状,砧状,秃,浓,A,
115,115,20105032,第115题	试题编号：20105032,低云由于其云底高度较低，故对在高空飞行的大型飞机影响较小。,T,F,,,F,
116,116,20105033,第116题	试题编号：20105033,高层云和高积云都属于中云。,T,F,,,T,
117,117,20105034,第117题	试题编号：20105034,低云对飞行的影响不仅因为云所在高度低，而且还因为云底结构复杂。,T,F,,,T,
118,118,20105035,第118题	试题编号：20105035,误入浓积云可能会遭受冰雹的袭击。,T,F,,,F,
119,119,20105036,第119题	试题编号：20105036,如果上午出现堡状云，则午后有可能发展成积雨云。,T,F,,,T,
120,120,20105037,第120题	试题编号：20105037,我国低云出现最少的地区在东北。,T,F,,,F,
121,121,20105038,第121题	试题编号：20105038,我国总云量最多的地区在川黔一带。,T,F,,,T,
122,122,20105039,第122题	试题编号：20105039,在雨层云(NS)和高层云(AS)中，一般无积冰。,T,F,,,F,
123,123,10106001,第123题	试题编号：10106001,大气很干燥的春季,如有强大的冷空气南下,中国西北、华北地区常产生危害飞行的天气现象是()。,大风和沙尘暴天气,强降水,雾,云中积冰,A,
124,124,10106002,第124题	试题编号：10106002,在北半球的()，天气系统一般是自西向东移动的。,极地地区,温带地区,热带地区,赤道附近,B,
125,125,10106003,第125题	试题编号：10106003,按热力分类,气团可以分成()。,赤道、副热带气团,热带、副热带气团,冷、暖气团,北极、冰洋气团,C,
126,126,10106004,第126题	试题编号：10106004,副热带高压中心以晴空为主，而其南侧通常以()。,层状玄为主,积状云为主,晴空为主,卷云为主,B,
127,127,10106005,第127题	试题编号：10106005,当热带风暴发展成台风时,其中心风力可达()以上。,6级(12m/s),9级(21m/s),12级(33m/s),3级(12m/s),C,
128,128,10106006,第128题	试题编号：10106006,热带风暴在海上移行的距离愈长()。,发展得愈强盛,其强度愈弱,天气愈缓和,势力越弱,A,
