1,1,10101001,第1题 试题编号：10101001,标准大气条件下的平均海平面温度是()。,0℃,10℃,15℃,25℃,C,13
375,379,10114003,第379题	试题编号：10114003,日常航空天气报告的名称是()。,TAF,ROFOR,METAR,SPECI,C,
376,380,10114004,第380题	试题编号：10114004,在TAF报文中,+RA表示的天气现象是()。,浓重的烟,浓重的霾,加强的降水,增强的毛毛雨,C,
377,381,10114005,第381题	试题编号：10114005,机场天气预报的名称是()。,TAF,SIGMET,AIRMET,VOLMET,A,
378,382,10114006,第382题	试题编号：10114006,在日常航空天气报告报文中,SCT表示云量的范围在()之间。,1/8至4/8,3/8至4/8,5/8至7/8,2/8至6/8,B,
379,383,10114007,第383题	试题编号：10114007,航空天气预报中的云底高度是指相对于()的垂直高度。,实际海平面,云下地表,标准海平面,下一层云,B,
380,384,10114008,第384题	试题编号：10114008,日常航空天气报告中发布CAV0K,天气现象应()。,无Sc云,无Cb云,无St云,无Ci云,B,
381,385,10114009,第385题	试题编号：10114009,CAVOK天气所指云底高度要()。,大于1500m,大于1000m,大于5000m,大于3000m,A,
382,386,10114010,第386题	试题编号：10114010,气象台发布一个预报意味着()以前发布的同一地点同一有效时间的同类任何预报或其中一部分。,延续,共存,取消,无关,C,
383,387,10114011,第387题	试题编号：10114011,SKC代表云量为()。,<1/8,1/8-2/8,3/8~5/8,7/8〜8/8,A,
384,388,10114012,第388题	试题编号：10114012,()预报不是每隔6小时发布一次的。,有效时段为18小时的航站天气预报,有效时段为9小时的航站天气预报,有效时段为24小时的航站天气预报,重要天气预告图,B,
385,389,10114013,第389题	试题编号：10114013,CAVOK表示:①能见度大于或等于10km；②无对航空有重要影响的天气现象；第三个条件是。,1500m(5000ft)或最高的最低(飞行)扇区高度(两者取其大)以下无云且无CB,碧空,1500m以下无云且无CB,碧空,500m以下无云且无CB,碧空,1000m以下无云且无CB,A,
386,390,10114014,第390题	试题编号：10114014,NSC表示()。,1500m以上无云,且无CB,1500m(5000ft)或最高的最低(飞行)扇区高度(两者取其大)以下无云且无CB,使用CAVOK或SKC也不恰当,1500m以下无云,且无CB,1000m以下无云,且无CB,B,
387,391,10114015,第391题	试题编号：10114015,在机场预报中,"9999"表示能见度()。,大于或等于5km,大于或等于10km,CAVOK天气,9999m,B,
388,392,10114016,第392题	试题编号：10114016,()指由于地面风的多变性不能用一个平均风向表示。,VRB,VBR,VVR,BVR,A,
389,393,10114017,第393题	试题编号：10114017,METAR电码形式趋势型着陆预报中,()表示预报没有变化发生。,NSW,BECMG,NOSIG,TEMPO,C,
390,394,10114018,第394题	试题编号：10114018,对空广播是指供应给()的气象情报。,航空器,机组,飞行中的航空器,飞行中的机组,C,
391,395,10114019,第395题	试题编号：10114019,在TAF预报中,预报的能见度为()。,最低能见度,水平能见度,主导能见度,着陆能见度,C,
392,396,10114020,第396题	试题编号：10114020,在日常航空天气报告中发布CAVOK时,对能见度的要求是()。,大于5km,小于10km,大于等于10km,大于3km,小于5km,小于1km,B,
393,397,10114021,第397题	试题编号：10114021,()可在实况图上查到。,航线上的高空风、急流,每小时机场天气实况,大气稳定度情况,锋面位置,B,
394,398,10114022,第398题	试题编号：10114022,在TAF报文中,缩写OCNL表示紧跟其后的天气现象发生的概率()。,大于80%,小于30%,大于50%,小于50%,C,
395,399,10114023,第399题	试题编号：10114023,()含有在航空器计划到达目的地机场时刻的预期天气信息。,雷达探测概要图(RSR),卫星云图,终端天气预报(TAF),终端天气实况(METAR),C,
396,400,10114024,第400题	试题编号：10114024,CAVOK和NSC的共同点是。,能见度≥10km,能见度≥5km,1500m(5000ft)或最高的最低飞行扇区高度（两者取其大）以下无云,且无积雨云,有别于SKC。,无重要天气现象,C,
397,401,10114025,第401题	试题编号：10114025,机场报告和预报中的云高使用的基准高度是()。,场面高度,标准海平面高度,假定零点高度,海拔高度,A,
398,402,10114026,第402题	试题编号：10114026,现在天气报告"VCSS"表示()。,机场附近有沙暴,机场附近有扬沙,机场附近有沙尘,机场附近有尘暴,A,
399,403,10114027,第403题	试题编号：10114027,TAF天气预报所覆盖的范围以跑道中点为圆心半径是()NM的圆。,10,5,15,20,B,
400,404,10114028,第404题	试题编号：10114028,终端天气预报中VCNTY所覆盖区域是:以跑道中心为圆心半径为()NM的范围。,5至25,1至5,10至15,10至100,A,
401,405,20114029,第405题	试题编号：20114029,TAF报中SQ表示尘暴。,T,F,,,F,
402,406,20114030,第406题	试题编号：20114030,METAR报中GS表示霰。,T,F,,,T,
403,407,20114031,第407题	试题编号：20114031,METAR报中RASN表示中等强度的雨夹雪,以雪为主。,T,F,,,F,
404,408,10115001,第408题	试题编号：10115001,气象情报中UA表示()。,飞机空中报告,重要气象情报,区域天气预报,日常航空天气报告,A,
405,409,10115002,第409题	试题编号：10115002,风切变警报中风切变的影响范围()。,跑道高度及其上空1000m高度,跑道高度及其上空800nl高度,跑道高度及其上空600m高度,跑道高度及其上空500m高度,D,
406,410,10115003,第410题	试题编号：10115003,民航气象情报类别中航路天气预报的表示符号为()。,SA,SP,FC,FR,D,
407,411,10115004,第411题	试题编号：10115004,()直接反映航线积冰条件的最准确信息。,卫星云图,飞行员报告,T-LnP图,天气图,B,
408,412,10115005,第412题	试题编号：10115005,VOLMET的含义是()„,传真图,重要天气预告图,对空天气广播,对流预计图,C,
409,413,10115006,第413题	试题编号：10115006,在高空飞行时,航空器遇到与云无关的紊流时,PIREP中常报告有(),,降水,积冰,CAT,热对流,C,
410,414,10115007,第414题	试题编号：10115007,缩写明语"WSWRNG"的意思是()。,积冰警报,颠簸警报,风切变警报,机场警报,C,
411,415,10115008,第415题	试题编号：10115008,民航气象情报类别中区域天气预报的表示符号为()。,FA,FT,FC,FR,A,
412,416,10115009,第416题	试题编号：10115009,UTC表示(),SFC表示()。,世界协调时；地面,世界协调时；近地面,北京时；近地面,北京时；地面,A,
413,417,10115010,第417题	试题编号：10115010,()只能在飞行期间直接观察而后在PIREP中报告。,飞机机体积冰,急流型风,对流层顶的高度,空中锋区,A,
414,418,10115011,第418题	试题编号：10115011,WS TKOF RWY36表示()。,36号跑道有风切变,36号跑道起飞方向有风切变,在36号跑道上着陆时遇到风切变,以上都不对,B,
415,419,10115012,第419题	试题编号：10115012,航路天气预报中的气温一般是指()。,地面气温,0℃线高度处气温,飞行高度上气温,起飞着陆机场的气温,C,
416,420,10115013,第420题	试题编号：10115013,风切变警报中,MBST表示。,山地颠簸,山地情况不明,微下击暴流,下击暴流,C,
417,421,20115014,第421题	试题编号：20115014,SIGMET由机场气象台发布。,T,F,,,F,
418,422,20115015,第422题	试题编号；20115015,气象情报中UA表示飞机空中报告。,T,F,,,T,
419,423,20115016,第423题	试题编号：20115016,SIGMET中OBSCTSHVYGR表示鹿线的伴有大雹的雷暴。,T,F,,,F,
420,424,10116001,第424题	试题编号：10116001,在空中等压面图上不分析的项目是()。,等高线,槽线,等温线,锋线,D,
421,425,10116002,第425题	试题编号：10116002,()是某一特定地区内锋面运动、紊流和积冰条件等信息的主要参考资料。,天气图,METER报,T-LnP图,RVR报告,A,
422,426,10116003,第426题	试题编号：10116003,地面天气图上蓝色实线所代表的是。,冷锋,暖锋,等压线,静止锋,A,
423,427,10116004,第427题	试题编号：10116004,属于地面天气图分析的项目是()。,现在天气现象,温度露点站,等温线,槽线,A,
424,428,10116005,第428题	试题编号：10116005,在高空天气图上,一个空三角旗和实三角旗分别表示风速为()和()。,10m/s、20m/s,10m/s、50m/s,20m/s、50m/s,20m/s、100m/s,C,
425,429,10116006,第429题	试题编号：10116006,850hPa,700hPa,500hPa天气图的平均高度分别是()。,1500m,3000iib5000m,2000m,4000m,6000m,1500m,3000m5500m,2000m,8000m,10000m,C,
426,430,10116007,第430题	试题编号：10116007 在地面天气图填图格式中的气压是。,在地面天气图填图格式中的气压是()。,本站气压,海平面气压,场面气压,标准海平面气压,B,
427,431,10116008,第431题	试题编号：10116008,属于等压面图上的填图项目是()。,温度露点差,三小时变压,气压,现在天气,A,
428,432,10116009,第432题	试题编号：10116009,在高空天气图中等温线之间的间隔为()。,4℃,5℃,8℃,16℃,A,
429,433,10116010,第433题	试题编号：10116010,航空天气报告中总云量填图值8,低云量填图值4,无高云,则推测出中云量为()。,3,4,5,6,B,
430,434,10116011,第434题	试题编号：10116011,天气形势预报是对()。,气象要素未来变化的预报,气压系统未来位置的预报,降水的预报,风力的预报,B,
431,435,10116012,第435题	试题编号：10116012,地面天气图上的等压线代表气压相同点的连线,其含义是()。,地面上气压值相同点的连线,将各测站实际大气气压订正到海平面上后,海平面气压值相同点的连线,本站高度上气压值相同点的连线,本站高度上标准大气气压值相同点的连线,B,
432,436,10116013,第436题	试题编号：10116013,天气图中700hPa等压面图平均高度大约是。,5500m,1800m,3000m,7500m,C,
433,437,10116014,第437题	试题编号：10116014,天气图中500hpa等压面图平均高度大约是()。,1800m,5500m,7400m,9500m,B,
434,438,10116015,第438题	试题编号：10116015,天气图中850hpa等压面图平均高度大约是()。,1000m,1800m,2400m,1500m,D,
435,439,20116016,第439题	试题编号：20116016,地面天气图上风向以矢杆表示,矢杆方向指向站圈,表示风的来向；风速以矢羽表示,矢羽一长划表示8m/s,矢羽一短划表示4m/s。,T,F,,,F,
436,440,20116017,第440题	试题编号：20116017,在地面天气图上,当等压线密集时,表示水平气压梯度越大,地面风也越大。,T,F,,,T,
437,441,20116018,第441题	试题编号：20116018,在高空天气图上,一个空三角旗和实三角旗分别表示风速为10和20m/s。,T,F,,,F,
438,442,20116019,第442题	试题编号：20116019,航空天气报告中总云量填图值8,低云量填图值4,无高云,则推测出中云量为4。,T,F,,,T,
439,443,10117001,第443题	试题编号：10117001,在()预告图中会出现阵雨的符号。,高层重要天气预告图,中层重要天气预告图,低层重要天气预告图,以上都不对,C,
440,444,10117002,第444题	试题编号：10117002,INTSF缩写表示()。,未来将发生某种天气,天气现象正在减弱,天气现象强度不变,天气现象有所加强,D,
441,445,10117003,第445题	试题编号：10117003,"埋置雷暴"的含义是()。,飑线内埋置有大量积雨云,预计积雨云将在一个稳定的气团中发展起来,积雨云埋置在厚度较大的层状云中,高压中心出现积雨云,C,
442,446,10117004,第446题	试题编号：10117004,低空重要天气情报的预报高度范围是()。,FL250~FL450,FL100~FL250,0~FL100,FL450~FL650,C,
443,447,10117005,第447题	试题编号：10117005,高层、中层和低层重要天气图分别表示()。,FL250以上、FL100至FL250、FL100以下的重要天气,FL230以上、FL100至FL230、FL100以下的重要天气,FL250以上、FL180至FL250、FL180以下的重要天气,FL280以上、FL100至FL280、FL100以下的重要天气,A,
444,448,10117006,第448题	试题编号：10117006,高层重要天气预告图的飞行高度层是()以上。,FL340,FL300,FL250,FL200,C,
445,449,10117007,第449题	试题编号：10117007,重要天气图上通常标有()等危害飞行的天气分布情况。,Cb云、急流、锋面,Cu云、锋面、热带风暴,Ci云、急流、热低压,Cc云、赤道辐合带、热低压,A,
446,450,10117008,第450题	试题编号：10117008,重要天气图上缩写SCT、BKN、OVC分别表示()。,少云、中云、多云,少云、多云、阴,多云、高云、低云,低云、中云、高云,B,
447,451,10117009,第451题	试题编号：10117009,在低空重要天气图中的MOIMAINOBSCURATION表示()。,山区有强烈风切变,山地情况不明,山地有较重降水现象发生,山地能见度小于5km,B,
448,452,10117010,第452题	试题编号：10117010,下列哪个简语在和CB结合使用时表示CB云在其影响区域最大覆盖率超过75%()。,EMBD,ISOL,OCNL,FRQ,D,
449,453,10117011,第453题	试题编号：10117011,"Low-Level Prognostic Chart"(低空天气预报图)所描绘天气的有效期是()小时。,2,4,6,24,C,
450,454,10117012,第454题	试题编号：10117012,高空急流轴的两短划表示高度层变化()或以下和（或）风速变化（）。,5000ft；20NM/h,5000ft；30NM/h,3000ft；20NM/h,3000ft；30NM/h,C,
451,455,10117013,第455题	试题编号：10117013,在重要天气预报图中“ISOL CB"表示标注区域内（）。,有50%的区域受CB的影响,有30%的区域受CB的影响,有孤立的积雨云,有40%的区域受CB的影响,C,
452,456,10117014,第456题	试题编号：10117014,对于国际飞行来说，制备"High-Level Significant Prognostic Chart"（高空重 要天气预报图）是为了用在()。,FL290以上的任何飞行高度层,FL100至FL180的高度层,FL180至FL600的高度层,FL100以下的高度层,C,
453,457,20117015,第457题	试题编号：20117015,在低层重要天气预告图中会出现阵雨的符号。,T,F,,,T,
454,458,20117016,第458题	试题编号：20117016,简语FRQ在和CB结合使用时表示CB云在其影响区域最大覆盖率超过75%。,T,F,,,T,
455,459,20117017,第459题	试题编号：20117017,高空急流轴的两短划表示高度层变化5000ft或以下和(或)风速变化30NM/h。,T,F,,,F,
456,460,10118001,第460题	试题编号：10118001,在高空风和温度预告图上,温度值如无符号说明,表示。,零下,零上,不确定,千氏温度,A,
457,461,10118002,第461题	试题编号：10118002,在以NM/h为单位的高空风和温度预告图上,一个黑三角旗代表风速为()。,20NM/h,30NM/h,40NM/h,50NM/h,D,
458,462,10118003,第462题	试题编号：10118003,在表格式的高空风和温度预告图上,方框及方框中的内容指示的是()。,该方框所覆盖的经纬线交叉点上的几个高度层上的风温值,该方框所覆盖的区域内的几个高度层上的平均风温值,该方框所覆盖的区域内的几个高度层上的最大风温值,以上都不对,A,
459,463,20118004,第463题	试题编号：20118004,在高空风和温度预告图上,温度值如无符号说明,表示零下。,T,F,,,T,
460,464,20118005,第464题	试题编号：20118005,在以节为单位的高空风和温度预告图上,一个黑三角旗代表风速为10knot。,T,F,,,F,
461,465,20118006,第465题	试题编号：20118006,在表格式的高空风和温度预告图上,方框及方框中的内容指示的是该方框所覆盖的经纬线交叉点上的几个高度层上的风温值。,T,F,,,T,
462,466,10119001,第466题	试题编号：10119001,红外云图的色调取决于物体()。,对太阳光的反照率的大小,表面温度的高低,水汽含量的多少,目标的表面光滑程度,B,
463,467,10119002,第467题	试题编号：10119002,白天在可见光图像上()的云趋于更亮些。,面向太阳,背向太阳,AB都对,AB都不对,A,
464,468,10119003,第468题	试题编号：10119003,可见光云图的色调取决于物体()。,对太阳光的反照率的大小,表面温度的高低,水汽含量的多少,目标的表面光滑程度,A,
465,469,10119004,第469题	试题编号：10119004,一般来说,在（）上,云顶高度越高,则温度越低,云的色调越白。,红外图,可见光图,水汽图,以上都不对,A,
466,470,10119005,第470题	试题编号：10119005,在红外云图上，有雪覆盖地区的色调要比周围无云地区更()一些。,灰,黑,白,以上都不对,C,
467,471,10119006,第471题	试题编号：10119006,冬半年的红外云图上,陆地的色调比海面()。,亮,暗,相同,以上都不对,A,
468,472,10119007,第472题	试题编号：10119007,夏季的白天红外云图上,陆地的色调比海面()。,亮,暗,相同,以上都不对,B,
469,473,10119008,第473题	试题编号：10119008,红外云图上色调为黑色表示该物体。,红外辐射大,温度高,红外辐射大,温度低,红外辐射小,温度高,红外辐射小,温度低,A,
470,474,10119009,第474题	试题编号：10119009,卫星云图图像主要有()。,VIS和IR两种,KIS和VFR两种,IFR和VFR两种,MDV和VIK两种,A,
471,475,10119010,第475题	试题编号：10119010,卫星云图上,下列何种天气系统呈现出带状云系()。,槽线,切变线,锋面,锋面气旋,C,
472,476,10119011,第476题	试题编号：10119011,卫星云图上,下面何种天气系统呈现出螺旋状云系()。,活跃的冷锋,成熟的气旋,高空槽,静止锋,B,
473,477,10119012,第477题	试题编号：10119012,在北半球卫星云图上,那种北部边界光滑,略呈反气旋性弯曲的带状卷云区表现的是()。,冷锋,高空槽,西风急流,高压脊,C,
474,478,10119013,第478题	试题编号：10119013,卫星云图上的高空急流云系中出现了横向波动云线,说明(),高空急流正处于消散阶段,风速较小,高空急流经过的地区出现了波动,高空急流中的卷云将演变成卷积云,对流将发展,高空急流中风速很强,会有严重颠簸,D,
475,479,10119014,第479题	试题编号：10119014,在卫星云图上,纤维状纹理是()的特征。,积状云,层状云,卷状云,中云,C,
476,480,10119015,第480题	试题编号：10119015,卫星云图上的未闭合细胞状云系主要由()组成。,层积云,浓积云或积雨云,高积云,堡状云,B,
477,481,10119016,第481题	试题编号：10119016,在可见光图卫星云图上,积雨云团所表现的色调为()。,浓白色,灰白色,黑色,白色,A,
478,482,10119017,第482题	试题编号：10119017,暗影是()云图上特有的标记。,红外,可见光,增强红外,可见光和红外,B,
479,483,10119018,第483题	试题编号：10119018,在卫星云图上范围广阔的盾状卷云区北侧是()。,淡积云区,浓积云区,急流区,高层云区,C,
480,484,10119019,第484题	试题编号：10119019,当高空风速垂直切变很大时,卫星云图上的积雨云的()一侧边界光滑整齐,()一侧出现羽状卷云砧。,下风,上风,上风,下风,侧风,上风,侧风,下风,B,
481,485,20119020,第485题	试题编号：20119020,在可见光云图上,一般说来,云厚时其亮度较暗。,T,F,,,F,
482,486,20119021,第486题	试题编号：20119021,在可见光云图上,太阳的高度角越低,暗影越明显。,T,F,,,T,
483,487,20119022,第487题	试题编号：20119022,在红外云图上,云系很白表明此云系很厚。,T,F,,,F,
484,488,20119023,第488题	试题编号：20119023,可见光云图的色调取决于目标物的反照率和目标物的表面温度。,T,F,,,F,
485,489,20119024,第489题	试题编号：20119024,红外云图中的高、中、低云色调差别明显,可见光云图中的高、中,低云色调差别不大。,T,F,,,T,
486,490,20119025,第490题	试题编号：20119025,白天,不管是红外云图还是可见光云图,积雨云的色调都最白。,T,F,,,T,
487,491,20119026,第491题	试题编号：20119026,在卫星云图上可以观测到火山灰云。,T,F,,,T,
488,492,20119027,第492题	试题编号：20119027,较薄的卷云在可见光图像上一般是白色,而在红外图像上是浅灰色。,T,F,,,F,
489,493,20119028,第493题	试题编号：20119028,在可见光云图上,对同样厚度的云来说,水滴云比冰晶云要亮。,T,F,,,T,
490,494,10120001,第494题	试题编号：10120001,在雷达平面显示器上,下述何种形状描述了对流云降水的回波特征()。,范围较大,边界不清晰,有时呈片状,逗点状,结构密实,尺度小,片状,范围较小,边界模糊,块状,尺度小,结构密实,边缘清晰,D,
491,495,10120002,第495题	试题编号：10120002,多普勒气象雷达主要是用来探测下述何种天气现象？(),机场不同方向的能见度,各种不同的降水,云底、云顶高和云的层次,各高度上的风向风速、湍流和强的风切变,D,
492,496,10120003,第496题	试题编号：10120003,下述何种状态描述了层状云降水的回波特征？(),尺度小,呈块状,浓白色,边缘整齐,范围较大,呈比较均匀的片状,带状分布,有皱纹,C,
493,497,10120004,第497题	试题编号：10120004,雷达显示器上出现絮状回波时,常出现()。,连绵的小雨,较大的阵雨,冰雹,连续性降水且雨量较大,D,
494,498,20120005,第498题	试题编号：20120005,研究表明，大多数下击暴流经常伴有弓状回波和钩状回波。,T,F,,,T,
495,499,20120006,第499题	试题编号：20120006,在雷达的RHI图上,冰雹云的强回波中心的高度远比普通雷暴的强回波中心高。,T,F,,,T,
496,500,20120007,第500题	试题编号：20120007,在平显上,零度层亮带是波状云回波的一个重要形态特征。,T,F,,,F,
497,501,20120008,第501题	试题编号：20120008,在平显上,零度层亮带是雹云回波的一个重要形态特征。,T,F,,,F,
498,502,20120009,第502题	试题编号：20120009,飑线的回波宽度很窄,并作为一个整体有规则地移动和演变。,T,F,,,T,
499,503,20120010,第503题	试题编号：20120010,在雷达平显上,最强的下击暴流和微下击暴流容易出现在弓型回波的穹隆处。,T,F,,,T,
500,504,20120011,第504题	试题编号：20120011,指状回波是指冰雹云回波边缘(多位于后缘)上出现的手指状突起,地面降雹一般出现在指状回波处或其根部。,T,F,,,T,
